"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"1997"	"1997"	"55-64 years"	"55-64"	6111	9825384	62.2
	"1997"	"1997"	"65-74 years"	"65-74"	8391	9056590	92.7
	"1997"	"1997"	"75-84 years"	"75-84"	8454	6496866	130.1
	"1997"	"1997"	"85+ years"	"85+"	5012	2553020	196.3
	"1997"	"1997"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"1997"	"1997"			35901	114125703	31.5
	"1998"	"1998"	"< 1 year"	"1"	0	1522023	0.0 (Unreliable)
	"1998"	"1998"	"1-4 years"	"1-4"	0	5858932	0.0 (Unreliable)
	"1998"	"1998"	"5-9 years"	"5-9"	0	7764365	0.0 (Unreliable)
	"1998"	"1998"	"10-14 years"	"10-14"	0	7599325	0.0 (Unreliable)
	"1998"	"1998"	"15-19 years"	"15-19"	2	7586393	0.0 (Unreliable)
	"1998"	"1998"	"20-24 years"	"20-24"	2	6986138	0.0 (Unreliable)
	"1998"	"1998"	"25-34 years"	"25-34"	357	16089859	2.2
	"1998"	"1998"	"35-44 years"	"35-44"	2240	18349615	12.2
	"1998"	"1998"	"45-54 years"	"45-54"	5014	15006729	33.4
	"1998"	"1998"	"55-64 years"	"55-64"	6136	10217829	60.1
	"1998"	"1998"	"65-74 years"	"65-74"	8332	8946339	93.1
	"1998"	"1998"	"75-84 years"	"75-84"	8569	6577689	130.3
	"1998"	"1998"	"85+ years"	"85+"	5106	2621858	194.7
	"1998"	"1998"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"1998"	"1998"			35759	115127094	31.1
"Total"					720094	2129444680	33.8
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Gender: Female"
"ICD-9 Codes: 174.0 (Nipple and areola); 174.1 (Central portion); 174.2 (Upper-inner quadrant); 174.3 (Lower-inner quadrant);"
"174.4 (Upper-outer quadrant); 174.5 (Lower-outer quadrant); 174.6 (Axillary tail); 174.8 (Other specified sites of female"
"breast); 174.9 (Breast (female), unspecified)"
